ACFU001,ECF019,EES008,ESS005,LAL020,LBI046,LDG011,LMA017,LPR012,OCP002,OCP013,ODE008,PFF012,SBB012,SMA025,SMA028,SME010,SNV009
ACFU001,EES008,EJF005,ELT008,LAL020,LCA020,LDG013,LPR012,OCP002,OCP013,ODE015,PFF012,SAS013,SBB012,SMA025,SNV009,STE019,STR017
ACFU001,ECF019,EES008,ELT008,ERO018,LAL020,LPR012,OCP002,OCP013,ODE008,ODE015,PFF012,PIC009,SBB012,SMA025,SNV009,STE019,SZO001
ACFU001,EES008,ELT008,ESS005,LMA018,LPR012,LUN012,LVE012,OCP002,OCP013,OFF005,PAN017,PFF012,SBB012,SMA025,SNV009,SST014,STE019
ACFU001,ECF019,EES008,ERO011,LDG011,LPR012,LUN012,OCP002,OCP013,ODE008,ODE015,PFF012,SBB012,SCV001,SIW006,SMA025,SNV009,STE019
ACAL033,ACFU001,EES008,LAL016,LAL020,LPR012,LUN012,LUN038,LVE012,OCP002,OCP013,ODE008,ODE015,PFF012,SBB012,SMA025,SST014,STE019
ACAL007,ACFU001,ECF019,EES008,ESS005,LPR012,LPR014,LUN012,OBI002,OCP002,OCP013,ODE008,PFF012,SBB012,SMA025,SME010,SNV009,STE019
ACFU001,EES008,ELT008,ESS005,LAL020,LUN012,OCP002,OCP013,ODE008,ODE015,OSH009,PFF012,SBB012,SMA025,SMA028,SME009,SNV009,STE019
ECF019,ECF024,EES008,ESS005,LAL020,LPR012,OCP002,OCP013,ODE008,PFF012,SBB012,SFR003,SMA025,SME010,SNB006,SNV009,SOD016,STE019
ACAL023,ACFE038,ACFU001,ECF019,EES008,ESS005,LAL020,LPR012,LUN005,LUN012,OCP002,OCP013,ODE015,PFF012,SBB012,SMA025,SNV009,STE019
ACFU001,ACGM052,EES008,ESS005,LAM022,LDG011,LUN012,OCP002,OCP013,ODE008,PFF012,SBB012,SMA025,SME010,SMO004,SMT008,SNV009,STE019
ACFU001,ACTO004,EES008,ELT008,ESS005,LAL020,LPR012,LUN012,LVE012,OCP002,OCP013,ODE008,OSH008,PFF012,SBB012,SCO028,SMA025,SNV009
ACFU001,ACGM057,ECF019,EES008,ELT008,LAL020,LDG013,LPR012,LUN012,OCP002,OCP013,ODE008,ORR021,PFF012,SBB012,SMT011,SNV009,STE019
ACAL033,ACFU001,EES008,ELT008,LAL016,LAL020,LPR012,LUN012,LVE012,OCP002,ODE008,ODE015,ORR014,PFF012,SBB012,SMA025,SST014,STE019
ACFU001,EES008,ELT008,ESS001,ESS005,LPR012,LUN012,OCP002,OCP013,ODE008,ODE015,ORR004,OWA021,PFF012,SBB012,SMA025,SNV009,STE019
ACAL022,ACFU001,EES008,ELT008,ESS005,LAL020,LPR012,LUN012,OCP002,OCP013,ODE008,PFF012,SBB012,SCO028,SMA025,SNV009,SSS003,STE019
ACFU001,EES008,ELT008,ESS005,LAL020,LMA018,LPR012,LUN012,LVE012,OCP002,OCP013,ODE008,PFF012,SAA007,SMA025,SNV009,SST014,STE019
ACFU001,EEG027,EES008,LAL020,LDG011,LPR012,LUN012,OCP002,OCP013,ODE008,PFF012,SBB012,SMA025,SMO022,SMT008,SNV009,STE019,STR021
ACFU001,EAG009,EES008,ELT008,LAL020,LDG013,LPR012,OCP002,OCP013,ODE008,ODE015,PFF012,SAS013,SBB012,SMA025,SNV009,STE019,STR017
ACFU001,ECF019,EES008,EHH001,EJP005,ESS005,FPA006,LAL020,LMC015,LPR012,OCP002,OCP013,ODE015,PFF012,SBB012,SMA025,SNV009,SPL002
ACFU001,EES008,EHH008,ELT008,LPR012,LUN003,LUN012,OCP002,OCP013,ODE015,OWA021,PFF012,PIC004,SBB012,SMA025,SNV037,SST001,STE019
ACFU001,ECF019,EES008,LAL020,LPR012,LUN012,OCP002,OCP013,ODE008,PFF012,PFF019,SBB012,SMA025,SME010,SNB019,SNV009,SOD016,STE019
ACFE020,ACFU001,EES008,ELT008,ESS005,LAL020,LPR012,LUN012,OCP002,OCP013,ODE015,OFI040,OSH009,PFF012,SBB012,SMA025,SNV009,STE019
ACFU001,ECF019,EES008,ELT008,LAL020,LDG013,LPR012,OCP002,OCP013,ODE015,PFF012,SBB012,SMA004,SMA025,SNV009,SOD021,SOD026,STE019
ACFU001,ECF019,EES008,ELT008,ESS005,LAL020,LPR012,LTT012,LUN012,OCP002,OCP013,ODE008,ODE015,OSH009,PFF006,SBB012,SNV009,STE019
ACCU011,ACFU001,EES008,ELT008,ESS005,LAL020,LMA018,LPR012,LUN012,LVE012,OCP002,OCP013,ODE008,PAN005,PFF012,SBB012,SCO028,SMA025
ACAZ004,ACEM001,ACPP010,ECF019,EES008,ESS005,LAL020,LDG011,LPR012,OCP002,OCP013,ODE008,ODE011,PFF012,SBB012,SMA025,SNV009,STE019
ACFU001,EES008,ELT008,ESS005,LAL020,LMA018,LPL016,LPR012,LUN012,OCP002,OCP013,ODE008,PFF012,SBB012,SMA025,SNV009,SST014,STE019
ACFU001,ACPH006,ECF019,EES008,EJP021,ESS005,LAL020,LPR012,OCP002,OCP013,ODE008,PFF012,SBB012,SMA025,SME010,SNB006,SOD016,STE019
ACFU001,EES008,ELT008,LCA020,LPR012,LUN012,OCP002,OCP013,ODE008,ODE015,PFF012,SAS013,SBB012,SFR006,SMA025,SNV009,STE019,STE024
ACFU001,EES008,ELT008,LAL020,LCA020,LDG013,LPR012,OCP002,OCP013,ODE008,ODE015,PFF012,SBB012,SMA025,SNV007,SNV009,STE019,STR017
ACFU001,ECF019,EES008,EJF004,ELT008,ERO018,LAL020,LPR012,OCP013,ODE008,ODE015,OFF005,PFF012,PIC009,SBB012,SMA025,SNV009,STE019
ACFU001,EES008,ELT008,ESS005,LAL016,LAM023,LPR012,LRE021,LUN012,OCP002,OCP013,ODE008,ODE015,PFF012,SBB012,SMA025,SST014,STE019
ACFU001,EEG002,EES008,LAL020,LMA018,LPR012,LUN012,LVE012,OCP002,OCP013,ODE008,PFF012,SBB012,SCO028,SEN002,SMA025,SNV009,STE019
ACAL002,ACFU001,ECF019,EES008,ELT008,ESS005,LPL019,LPR012,LRE029,MYSC004,OCP002,OCP013,ODE008,PFF012,SBB012,SMA025,SNV009,STE019
ACAL023,ACFE038,ACFU001,ECF019,EES008,LAL020,LPR012,LUN012,OCP002,OCP013,ODE008,ODE015,PFF012,SAS021,SBB012,SMA025,SNV009,STE019
ACFU001,EES008,EHH001,ESS005,LAL020,LAM004,LPR012,LUN012,OCP002,OCP013,ODE015,PFF012,SBB012,SFN022,SMA025,SNV009,SPL002,STE019
ACFU001,ELT008,ERO018,ESS005,LAL020,LBI006,LMC007,LPR012,LUN012,OCP002,OCP013,ODE008,ODE015,PFF012,SBB012,SMA025,SMO013,STE019
EES008,ELT008,ERO018,ESS005,LAL020,LBI006,LPR012,LUN012,OCP002,OCP013,ODE008,ODE015,PFF012,SBB012,SGM019,SIB004,SMA025,SNV009
ACFU001,ECF019,EES008,ERO011,LDG011,LPL003,LPR012,LUN012,MYSE001,OCP002,OCP013,ODE008,PFF012,SBB012,SCV001,SMA025,SNV009,STE019
ACFU001,EES008,LAL020,LCA020,LPR012,LUN012,OCP002,OCP013,ODE008,ODE015,PFF012,SAS013,SBB012,SMA025,SNV009,STE019,STE024,SWA006
ACAL007,ACAL039,ACFU001,ECF019,EES008,ESS005,LMA033,LPR012,LUN012,OBI002,OCP002,OCP013,PFF012,SBB012,SMA025,SME010,SNV009,STE019
ACFU001,ECF019,EES008,FHI006,LAL020,LPR012,LUN012,OCP002,OCP013,ODE008,PFF012,PFF019,SBB012,SMA025,SME010,SNB006,SNV009,SOD016
ACFU001,ECF019,ESS005,LAL020,LPR012,LUN012,OCP002,OCP013,ODE008,OMA013,OMW013,SBB012,SMA025,SME010,SNB006,SNV009,SOD016,STE019
ACAL023,ACFU001,ACGM027,ECF019,EES008,ESS005,LPR012,LPR022,LUN012,OCP002,OCP013,ODE015,PFF012,SBB012,SMA025,SMW018,SNV009,STE019
ACFU001,EES008,ELT008,ESS005,LAL020,LMA018,LPR012,LUN012,OCP002,OCP013,ODE008,OEV006,PFF012,SBB012,SMA025,SNV009,SST014,STE019
ACFU001,EES008,ELT008,ERO018,ESS005,LAL020,LBI006,LMC007,LPR012,LTT009,OCP002,OCP013,ODE008,ODE015,PFF012,SBB012,SMA025,STE019
ACAZ004,ACFU001,ECF019,EES008,ELT008,ESS005,LAL020,LBB005,LDG011,LEV003,LPR012,OCP002,OCP013,PFF012,SDD002,SMA025,SNV009,STE019
ACFU001,ECF019,EES008,ELT008,LAL020,LDG011,LMA029,LPR008,LPR012,OCP002,OCP013,ODE008,OFF015,PFF012,SIW018,SMA025,SNV009,STE019
ACAL033,ACFU001,EES008,ELT008,LAL016,LAL020,LPR012,LUN012,LVE012,OCP002,OCP013,ODE008,ORE003,PFF012,SBB012,SMA025,SST014,STE019
ACFU001,EES008,ELT008,ERO034,ESS005,LAL020,LPR012,LUN012,LVE012,OCP013,ODE008,PCA011,PFF012,SBB012,SCO028,SMA025,SNV009,STE019
ACAL002,ACFU001,EES008,ELT008,ESS005,LPL019,LPR012,LRE029,LUN012,OCP002,ODE008,OEV002,PFF012,PMO010,SBB012,SMA025,SNV009,STE019
ACFU001,ACTO004,ECF019,ELT008,EMM034,ESS005,LAL020,LPR012,LUN012,OCP002,OCP013,ODE008,ODE015,OSH009,PFF012,SBB012,SMA025,STE019
ACFU001,ECF019,EES008,ELT008,LAL020,LDG011,LMA029,LPR012,OCP002,OCP013,ODE008,PFF012,SBB012,SIW018,SMA025,SNV009,STE019,STR031
ACAL023,ACFU001,ECF019,EES008,LAL020,LMA020,LMA035,LPR012,LPR022,LUN012,OCP002,OCP013,ODE008,ODE015,SBB012,SMA025,SNV009,STE019
ACAL023,ACFU001,ECF019,EES008,LAL020,LMA020,LPR012,LPR022,LUN012,OCP002,OCP013,ODE008,ODE015,PFF012,PFF026,SBB012,SMA025,SNV009
ACFU001,ECF019,ECF024,EES008,ESS005,LAL020,LPR012,LVE017,OCP002,OCP013,PFF012,SBB012,SMA025,SME010,SNB006,SNV009,SOD016,STE019
