ACAZ008, ACPP005, ACWS012, EEE020, LAL008, LMA018, LTT011, OBI002, OCP016, ODE002, ORF004, PCA016, PFF026, SEL012, SMA011, SSS030, SST020, STE021
ACWS012, EEE020, ELT010, FHI003, LAL008, LBB004, OCE004, OCP016, OFI037, OMA022, ORF004, POM004, SCO003, SCO013, SMA006, SNV030, SST020, STE021
EEE020, FHI003, LAL008, LBB004, LMA046, OCE004, OCP016, ORF004, ORR001, PFF026, SCO003, SCO013, SFN002, SGM031, SOD031, SST020, STE018, STE021
ACAL025, ACWS012, EES009, FHI003, LBB004, LBU028, OCE004, OCE009, OCP016, ODE002, ORF004, PFF026, SEL012, SGD007, SGD010, SST020, STE003, STE021
ACWS012, EEE020, ELT010, EWW036, FHI003, LAL008, LBB004, OCE004, OCP016, OFI037, OMA022, ORF004, SCO003, SCO013, SMA006, SNV030, SST020, STE021
ACAL005, ACFU004, ACWS012, EEE020, FHI003, LAL008, LBB004, LBU033, LUN027, OCE004, OCP016, ORF002, SCO003, SCO013, SCO017, SEL012, SST020, STE021
ACWS012, EEE020, FHI003, LAL008, OBI028, OCE004, OCP016, OFI037, OMA022, ORF004, PCA016, SCO003, SCO013, SEV004, SMA006, SNV013, SST020, STE021
EEE020, EHC005, FHI003, LAL008, LBB004, LMA005, LMA044, LMA046, OCE004, ORF004, PFF026, SCO003, SFN002, SIW016, SNV013, SST020, STE018, STE021
ACAL005, ECF009, EEE020, EHH014, LBB004, LMA046, LTT021, LUN019, OCE004, OCP016, ODE002, ORF004, PCA005, PCA036, PFF026, SCO013, SEL012, STE021
ACAL005, ACOO006, ACTA007, ACWS012, EEE020, FHI003, LAL006, LBB004, LBU033, OCP016, ODE002, ORF004, PFF026, SCO003, SCO013, SEL012, SMA036, STE021
ACAL025, ACWS012, FHI003, LAL008, LBB004, LBU028, OCE004, OCE009, OCP016, ODE002, ODE011, ORF004, PFF026, SEL012, SGD007, SST020, STE003, STE021
ACGM012, EEE020, FHI003, LAL008, LMA046, OCE004, OCP016, ORF004, PFF026, SCO003, SCO013, SFN002, SGM031, SNV013, SOD031, SST020, STE018, STE021
EEE020, EWO009, FHI003, LAL008, LBI013, LCA005, OBI028, OCP016, ODE002, ORF004, PCA016, PFF026, POM011, SCO013, SEL012, SIW001, SNV013, STE021
